"","ph1","bc1a","bc1","bc2","bc3","pph1","pph2a","pph2b","pph2c","el1","el9","el11","el13a","el13b","el13c","el13d","el13e","el14","el15","el16","el17a","el17b","el17c","el17d","el17e","el17f","ih1","mh4","es1a","es1b","es2","es3","SAMP_WEIGHT","POP_WEIGHT","leave_type","leave_weeks","ulw_recode","unpaid_leave_weeks","pct_unpaid","partner","education","race","job_type","unemploy_reason","food_insecurity","family_income","zipcode","d4_2","bf1_1","d7","d4_1","cp1","el3"
"1",2,7,1,1,3,1,NA,NA,NA,1,1,"1",0,0,8,0,0,1,1,NA,2,1,2,1,2,2,2,2,4,4,2,77,0.710955213454301,72.4706144017444,"Paid",8,NA,0,0,"Single Parent","Some college or technical school","White","Private",NA,0,NA,"11235",NA,"Weeks",5,1,2,2
"2",2,2,1,2,3,1,NA,NA,NA,1,1,"3",3,0,1,1,0,1,1,NA,1,2,1,1,2,1,2,3,4,4,2,12,1.35306031169012,137.923050925207,"Both",4,NA,1,25,"Co-parent","Four year college or higher","Asian","Private",NA,0,"More than $85,000","10013",4,"Months",6,3,1,2
"3",3,9,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,2,1,1.75818905520321,179.21950448316,NA,NA,NA,NA,NA,"Co-parent","No high school degree","Other",NA,NA,0,"Less than $16,000","10454",NA,"Still breastfeeding",3,8,1,NA
"4",1,10,1,2,4,1,NA,NA,NA,1,1,"1",0,0,1,0,0,2,2,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,2.40575034889483,245.228113645201,"Paid",1,NA,0,0,"Single Parent","High school degree/GED","Black/African American","Government","Fired related to pregnancy or maternity leave",1,"Less than $16,000","11203",NA,"Months",4,2,2,1
"5",4,7,1,1,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,1,77,1.08392572101413,110.489045556168,NA,NA,NA,NA,NA,"Single Parent","No high school degree","White",NA,NA,1,NA,"11368",NA,"Months",2,1,2,NA
"6",2,6,1,1,4,1,NA,NA,NA,1,2,"1",3,77,6,0,0,2,1,NA,1,1,1,1,2,1,1,3,4,4,2,2,0.531332229418393,54.1608984485978,"Paid",4,NA,0,0,"Single Parent","High school degree/GED","White","Private",NA,0,"$16,001 to $20,000","11211",NA,"Months",4,1,2,2
"7",1,6,1,1,2,1,NA,NA,NA,1,2,"2",NA,NA,NA,NA,NA,2,1,NA,1,1,1,1,2,2,2,1,4,4,2,99,0.793413894957552,80.8759698984201,"Unpaid",12,12,12,100,"Co-parent","Four year college or higher","White","Non-profit",NA,0,NA,"10025",NA,"Months",6,1,1,3
"8",1,3,1,2,3,1,NA,NA,NA,1,1,"1",1,8,8,0,0,2,1,NA,2,2,2,2,1,2,1,1,4,4,2,12,1.16724540641621,118.982166752243,"Paid",8,NA,0,0,"Co-parent","Four year college or higher","Asian","Private",NA,0,"More than $85,000","11358",NA,"Months",6,3,1,2
"9",3,2,1,2,3,1,NA,NA,NA,1,1,"2",NA,NA,NA,NA,NA,1,1,NA,1,1,2,1,2,1,2,3,4,4,2,9,0.455226056418592,46.4030804979238,"Unpaid",11,11,11,100,"Single Parent","Four year college or higher","Asian","Government",NA,0,"$40,001 to 60,000","10032",2,"Months",6,3,2,1
"10",1,11,1,1,2,1,NA,NA,NA,1,2,"4",NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,3,3,3,4,1,1,1.69585038512935,172.865065222084,"Did not take time off",NA,NA,NA,NA,"Co-parent","Four year college or higher","White","Private","No affordable childcare",1,"Less than $16,000","11421",NA,"Months",6,1,1,2
